pref_resource,daily_study_hours,subject,preferred_strategy
3,2.8887031753620853,1,1
2,3.1099520717461333,3,0
3,2.4686626655765362,2,1
3,8.843096341052327,3,1
3,7.691491755636172,3,2
4,0.9455164440165893,3,1
4,3.0523885792404197,1,2
3,0.7107550492878655,3,0
4,5.232569273135983,1,2
1,5.0240016194956345,1,0
1,8.398029155593761,1,2
4,3.4238837778249698,2,3
4,8.255664484524093,1,3
3,9.69575077167832,1,1
2,1.3398781219736424,2,2
4,8.022269474961512,1,2
1,6.104581022807543,3,0
3,5.060436686675514,3,1
4,4.495089897318213,1,2
1,7.95434850747094,2,1
1,6.573932891255303,3,3
2,8.147924341433939,2,2
3,9.07993505742795,2,2
3,6.364005264924274,3,1
2,9.81439588837759,2,2
2,6.276834570647909,3,1
3,6.548121055411684,2,2
3,5.7707482811511435,3,0
4,1.3645198649876376,1,1
4,7.400771810177169,3,2
2,5.7007399155415595,3,3
4,4.783649250452992,3,2
1,9.149477144831094,3,3
4,3.3306147896485294,2,3
4,5.474221622142606,1,0
1,7.1275977791879015,3,1
2,8.066481868901835,2,2
1,4.863794675488638,1,0
4,8.49986844267774,1,2
2,7.804718542496276,1,3
4,1.1292417895927256,1,1
1,0.935682030844013,3,2
1,6.397654002009867,3,2
4,3.800427378141435,2,3
3,2.4867425152458846,2,2
3,6.006674377481515,2,2
1,3.744850499337178,1,3
1,5.604002458783666,1,0
3,4.871132010343934,3,3
3,6.05527800651696,1,0
4,4.302854644647673,1,1
4,7.127841950120851,1,0
3,2.210639087318336,2,0
